Year,MSA,Race,Age,Pop
1999,Austin,AI,50-54,144
1999,Austin,AI,55-59,74
1999,Austin,AI,60-64,69
1999,Austin,AI,65-69,34
1999,Austin,AI,70-74,17
1999,Austin,AI,75-79,23
2000,Austin,AI,50-54,185
2000,Austin,AI,55-59,98
2000,Austin,AI,60-64,86
2000,Austin,AI,65-69,45
2000,Austin,AI,70-74,46
2000,Austin,AI,75-79,27
2001,Austin,AI,50-54,221
2001,Austin,AI,55-59,132
2001,Austin,AI,60-64,114
2001,Austin,AI,65-69,49
2001,Austin,AI,70-74,55
2001,Austin,AI,75-79,33
2002,Austin,AI,50-54,259
2002,Austin,AI,55-59,164
2002,Austin,AI,60-64,134
2002,Austin,AI,65-69,51
2002,Austin,AI,70-74,56
2002,Austin,AI,75-79,40
2003,Austin,AI,50-54,312
2003,Austin,AI,55-59,191
2003,Austin,AI,60-64,133
2003,Austin,AI,65-69,61
2003,Austin,AI,70-74,62
2003,Austin,AI,75-79,41
2004,Austin,AI,50-54,378
2004,Austin,AI,55-59,213
2004,Austin,AI,60-64,161
2004,Austin,AI,65-69,88
2004,Austin,AI,70-74,57
2004,Austin,AI,75-79,45
2005,Austin,AI,50-54,426
2005,Austin,AI,55-59,243
2005,Austin,AI,60-64,178
2005,Austin,AI,65-69,97
2005,Austin,AI,70-74,51
2005,Austin,AI,75-79,56
2006,Austin,AI,50-54,483
2006,Austin,AI,55-59,299
2006,Austin,AI,60-64,223
2006,Austin,AI,65-69,99
2006,Austin,AI,70-74,61
2006,Austin,AI,75-79,58
2007,Austin,AI,50-54,568
2007,Austin,AI,55-59,340
2007,Austin,AI,60-64,233
2007,Austin,AI,65-69,86
2007,Austin,AI,70-74,62
2007,Austin,AI,75-79,61
2008,Austin,AI,50-54,648
2008,Austin,AI,55-59,382
2008,Austin,AI,60-64,265
2008,Austin,AI,65-69,125
2008,Austin,AI,70-74,74
2008,Austin,AI,75-79,68
2009,Austin,AI,50-54,721
2009,Austin,AI,55-59,443
2009,Austin,AI,60-64,312
2009,Austin,AI,65-69,133
2009,Austin,AI,70-74,97
2009,Austin,AI,75-79,71
2010,Austin,AI,50-54,837
2010,Austin,AI,55-59,485
2010,Austin,AI,60-64,370
2010,Austin,AI,65-69,166
2010,Austin,AI,70-74,99
2010,Austin,AI,75-79,79
2011,Austin,AI,50-54,881
2011,Austin,AI,55-59,543
2011,Austin,AI,60-64,396
2011,Austin,AI,65-69,206
2011,Austin,AI,70-74,106
2011,Austin,AI,75-79,81
2012,Austin,AI,50-54,906
2012,Austin,AI,55-59,633
2012,Austin,AI,60-64,422
2012,Austin,AI,65-69,232
2012,Austin,AI,70-74,117
2012,Austin,AI,75-79,84
2013,Austin,AI,50-54,963
2013,Austin,AI,55-59,727
2013,Austin,AI,60-64,440
2013,Austin,AI,65-69,269
2013,Austin,AI,70-74,125
2013,Austin,AI,75-79,89
2014,Austin,AI,50-54,1014
2014,Austin,AI,55-59,786
2014,Austin,AI,60-64,473
2014,Austin,AI,65-69,315
2014,Austin,AI,70-74,138
2014,Austin,AI,75-79,93
2015,Austin,AI,50-54,1077
2015,Austin,AI,55-59,847
2015,Austin,AI,60-64,519
2015,Austin,AI,65-69,358
2015,Austin,AI,70-74,160
2015,Austin,AI,75-79,100
2016,Austin,AI,50-54,1122
2016,Austin,AI,55-59,897
2016,Austin,AI,60-64,565
2016,Austin,AI,65-69,392
2016,Austin,AI,70-74,199
2016,Austin,AI,75-79,105
2017,Austin,AI,50-54,1180
2017,Austin,AI,55-59,913
2017,Austin,AI,60-64,655
2017,Austin,AI,65-69,433
2017,Austin,AI,70-74,220
2017,Austin,AI,75-79,117
2018,Austin,AI,50-54,1226
2018,Austin,AI,55-59,971
2018,Austin,AI,60-64,719
2018,Austin,AI,65-69,452
2018,Austin,AI,70-74,255
2018,Austin,AI,75-79,124
1999,Dallas,AI,50-54,378
1999,Dallas,AI,55-59,205
1999,Dallas,AI,60-64,145
1999,Dallas,AI,65-69,88
1999,Dallas,AI,70-74,51
1999,Dallas,AI,75-79,34
2000,Dallas,AI,50-54,432
2000,Dallas,AI,55-59,253
2000,Dallas,AI,60-64,179
2000,Dallas,AI,65-69,118
2000,Dallas,AI,70-74,68
2000,Dallas,AI,75-79,56
2001,Dallas,AI,50-54,490
2001,Dallas,AI,55-59,297
2001,Dallas,AI,60-64,191
2001,Dallas,AI,65-69,145
2001,Dallas,AI,70-74,77
2001,Dallas,AI,75-79,61
2002,Dallas,AI,50-54,535
2002,Dallas,AI,55-59,367
2002,Dallas,AI,60-64,221
2002,Dallas,AI,65-69,157
2002,Dallas,AI,70-74,87
2002,Dallas,AI,75-79,67
2003,Dallas,AI,50-54,590
2003,Dallas,AI,55-59,429
2003,Dallas,AI,60-64,237
2003,Dallas,AI,65-69,181
2003,Dallas,AI,70-74,97
2003,Dallas,AI,75-79,75
2004,Dallas,AI,50-54,706
2004,Dallas,AI,55-59,503
2004,Dallas,AI,60-64,263
2004,Dallas,AI,65-69,204
2004,Dallas,AI,70-74,126
2004,Dallas,AI,75-79,87
2005,Dallas,AI,50-54,821
2005,Dallas,AI,55-59,584
2005,Dallas,AI,60-64,323
2005,Dallas,AI,65-69,265
2005,Dallas,AI,70-74,154
2005,Dallas,AI,75-79,110
2006,Dallas,AI,50-54,896
2006,Dallas,AI,55-59,636
2006,Dallas,AI,60-64,350
2006,Dallas,AI,65-69,238
2006,Dallas,AI,70-74,150
2006,Dallas,AI,75-79,105
2007,Dallas,AI,50-54,1053
2007,Dallas,AI,55-59,706
2007,Dallas,AI,60-64,390
2007,Dallas,AI,65-69,264
2007,Dallas,AI,70-74,164
2007,Dallas,AI,75-79,105
2008,Dallas,AI,50-54,1194
2008,Dallas,AI,55-59,791
2008,Dallas,AI,60-64,459
2008,Dallas,AI,65-69,296
2008,Dallas,AI,70-74,191
2008,Dallas,AI,75-79,129
2009,Dallas,AI,50-54,1369
2009,Dallas,AI,55-59,907
2009,Dallas,AI,60-64,562
2009,Dallas,AI,65-69,339
2009,Dallas,AI,70-74,226
2009,Dallas,AI,75-79,150
2010,Dallas,AI,50-54,1595
2010,Dallas,AI,55-59,1029
2010,Dallas,AI,60-64,651
2010,Dallas,AI,65-69,389
2010,Dallas,AI,70-74,243
2010,Dallas,AI,75-79,155
2011,Dallas,AI,50-54,1763
2011,Dallas,AI,55-59,1136
2011,Dallas,AI,60-64,703
2011,Dallas,AI,65-69,451
2011,Dallas,AI,70-74,268
2011,Dallas,AI,75-79,171
2012,Dallas,AI,50-54,1884
2012,Dallas,AI,55-59,1267
2012,Dallas,AI,60-64,739
2012,Dallas,AI,65-69,491
2012,Dallas,AI,70-74,303
2012,Dallas,AI,75-79,199
2013,Dallas,AI,50-54,2028
2013,Dallas,AI,55-59,1370
2013,Dallas,AI,60-64,814
2013,Dallas,AI,65-69,535
2013,Dallas,AI,70-74,330
2013,Dallas,AI,75-79,225
2014,Dallas,AI,50-54,2155
2014,Dallas,AI,55-59,1485
2014,Dallas,AI,60-64,888
2014,Dallas,AI,65-69,597
2014,Dallas,AI,70-74,377
2014,Dallas,AI,75-79,236
2015,Dallas,AI,50-54,2264
2015,Dallas,AI,55-59,1590
2015,Dallas,AI,60-64,1013
2015,Dallas,AI,65-69,673
2015,Dallas,AI,70-74,414
2015,Dallas,AI,75-79,247
2016,Dallas,AI,50-54,2453
2016,Dallas,AI,55-59,1726
2016,Dallas,AI,60-64,1071
2016,Dallas,AI,65-69,740
2016,Dallas,AI,70-74,454
2016,Dallas,AI,75-79,260
2017,Dallas,AI,50-54,2620
2017,Dallas,AI,55-59,1841
2017,Dallas,AI,60-64,1203
2017,Dallas,AI,65-69,772
2017,Dallas,AI,70-74,499
2017,Dallas,AI,75-79,284
2018,Dallas,AI,50-54,2674
2018,Dallas,AI,55-59,1999
2018,Dallas,AI,60-64,1316
2018,Dallas,AI,65-69,833
2018,Dallas,AI,70-74,535
2018,Dallas,AI,75-79,307
1999,El Paso,AI,50-54,174
1999,El Paso,AI,55-59,101
1999,El Paso,AI,60-64,110
1999,El Paso,AI,65-69,99
1999,El Paso,AI,70-74,67
1999,El Paso,AI,75-79,44
2000,El Paso,AI,50-54,187
2000,El Paso,AI,55-59,119
2000,El Paso,AI,60-64,124
2000,El Paso,AI,65-69,100
2000,El Paso,AI,70-74,76
2000,El Paso,AI,75-79,45
2001,El Paso,AI,50-54,199
2001,El Paso,AI,55-59,115
2001,El Paso,AI,60-64,110
2001,El Paso,AI,65-69,95
2001,El Paso,AI,70-74,77
2001,El Paso,AI,75-79,42
2002,El Paso,AI,50-54,185
2002,El Paso,AI,55-59,132
2002,El Paso,AI,60-64,89
2002,El Paso,AI,65-69,91
2002,El Paso,AI,70-74,87
2002,El Paso,AI,75-79,42
2003,El Paso,AI,50-54,201
2003,El Paso,AI,55-59,127
2003,El Paso,AI,60-64,96
2003,El Paso,AI,65-69,95
2003,El Paso,AI,70-74,87
2003,El Paso,AI,75-79,44
2004,El Paso,AI,50-54,222
2004,El Paso,AI,55-59,143
2004,El Paso,AI,60-64,86
2004,El Paso,AI,65-69,93
2004,El Paso,AI,70-74,84
2004,El Paso,AI,75-79,52
2005,El Paso,AI,50-54,217
2005,El Paso,AI,55-59,162
2005,El Paso,AI,60-64,95
2005,El Paso,AI,65-69,101
2005,El Paso,AI,70-74,73
2005,El Paso,AI,75-79,57
2006,El Paso,AI,50-54,236
2006,El Paso,AI,55-59,172
2006,El Paso,AI,60-64,101
2006,El Paso,AI,65-69,99
2006,El Paso,AI,70-74,76
2006,El Paso,AI,75-79,68
2007,El Paso,AI,50-54,259
2007,El Paso,AI,55-59,186
2007,El Paso,AI,60-64,125
2007,El Paso,AI,65-69,90
2007,El Paso,AI,70-74,75
2007,El Paso,AI,75-79,68
2008,El Paso,AI,50-54,283
2008,El Paso,AI,55-59,213
2008,El Paso,AI,60-64,132
2008,El Paso,AI,65-69,106
2008,El Paso,AI,70-74,78
2008,El Paso,AI,75-79,69
2009,El Paso,AI,50-54,298
2009,El Paso,AI,55-59,222
2009,El Paso,AI,60-64,152
2009,El Paso,AI,65-69,106
2009,El Paso,AI,70-74,77
2009,El Paso,AI,75-79,76
2010,El Paso,AI,50-54,319
2010,El Paso,AI,55-59,235
2010,El Paso,AI,60-64,181
2010,El Paso,AI,65-69,121
2010,El Paso,AI,70-74,86
2010,El Paso,AI,75-79,60
2011,El Paso,AI,50-54,319
2011,El Paso,AI,55-59,267
2011,El Paso,AI,60-64,191
2011,El Paso,AI,65-69,137
2011,El Paso,AI,70-74,93
2011,El Paso,AI,75-79,61
2012,El Paso,AI,50-54,319
2012,El Paso,AI,55-59,292
2012,El Paso,AI,60-64,194
2012,El Paso,AI,65-69,135
2012,El Paso,AI,70-74,100
2012,El Paso,AI,75-79,65
2013,El Paso,AI,50-54,327
2013,El Paso,AI,55-59,305
2013,El Paso,AI,60-64,209
2013,El Paso,AI,65-69,148
2013,El Paso,AI,70-74,105
2013,El Paso,AI,75-79,67
2014,El Paso,AI,50-54,345
2014,El Paso,AI,55-59,303
2014,El Paso,AI,60-64,241
2014,El Paso,AI,65-69,157
2014,El Paso,AI,70-74,97
2014,El Paso,AI,75-79,68
2015,El Paso,AI,50-54,352
2015,El Paso,AI,55-59,317
2015,El Paso,AI,60-64,227
2015,El Paso,AI,65-69,175
2015,El Paso,AI,70-74,106
2015,El Paso,AI,75-79,80
2016,El Paso,AI,50-54,356
2016,El Paso,AI,55-59,316
2016,El Paso,AI,60-64,261
2016,El Paso,AI,65-69,174
2016,El Paso,AI,70-74,115
2016,El Paso,AI,75-79,88
2017,El Paso,AI,50-54,363
2017,El Paso,AI,55-59,334
2017,El Paso,AI,60-64,277
2017,El Paso,AI,65-69,195
2017,El Paso,AI,70-74,128
2017,El Paso,AI,75-79,88
2018,El Paso,AI,50-54,351
2018,El Paso,AI,55-59,336
2018,El Paso,AI,60-64,287
2018,El Paso,AI,65-69,213
2018,El Paso,AI,70-74,144
2018,El Paso,AI,75-79,81
1999,Houston,AI,50-54,441
1999,Houston,AI,55-59,240
1999,Houston,AI,60-64,168
1999,Houston,AI,65-69,111
1999,Houston,AI,70-74,91
1999,Houston,AI,75-79,41
2000,Houston,AI,50-54,534
2000,Houston,AI,55-59,304
2000,Houston,AI,60-64,209
2000,Houston,AI,65-69,139
2000,Houston,AI,70-74,118
2000,Houston,AI,75-79,53
2001,Houston,AI,50-54,625
2001,Houston,AI,55-59,393
2001,Houston,AI,60-64,248
2001,Houston,AI,65-69,185
2001,Houston,AI,70-74,141
2001,Houston,AI,75-79,81
2002,Houston,AI,50-54,719
2002,Houston,AI,55-59,466
2002,Houston,AI,60-64,284
2002,Houston,AI,65-69,203
2002,Houston,AI,70-74,162
2002,Houston,AI,75-79,80
2003,Houston,AI,50-54,826
2003,Houston,AI,55-59,490
2003,Houston,AI,60-64,289
2003,Houston,AI,65-69,244
2003,Houston,AI,70-74,171
2003,Houston,AI,75-79,110
2004,Houston,AI,50-54,975
2004,Houston,AI,55-59,635
2004,Houston,AI,60-64,350
2004,Houston,AI,65-69,319
2004,Houston,AI,70-74,176
2004,Houston,AI,75-79,130
2005,Houston,AI,50-54,1238
2005,Houston,AI,55-59,748
2005,Houston,AI,60-64,469
2005,Houston,AI,65-69,388
2005,Houston,AI,70-74,224
2005,Houston,AI,75-79,146
2006,Houston,AI,50-54,1264
2006,Houston,AI,55-59,780
2006,Houston,AI,60-64,470
2006,Houston,AI,65-69,379
2006,Houston,AI,70-74,230
2006,Houston,AI,75-79,162
2007,Houston,AI,50-54,1439
2007,Houston,AI,55-59,907
2007,Houston,AI,60-64,508
2007,Houston,AI,65-69,388
2007,Houston,AI,70-74,222
2007,Houston,AI,75-79,169
2008,Houston,AI,50-54,1642
2008,Houston,AI,55-59,1040
2008,Houston,AI,60-64,622
2008,Houston,AI,65-69,443
2008,Houston,AI,70-74,250
2008,Houston,AI,75-79,184
2009,Houston,AI,50-54,1869
2009,Houston,AI,55-59,1214
2009,Houston,AI,60-64,763
2009,Houston,AI,65-69,530
2009,Houston,AI,70-74,270
2009,Houston,AI,75-79,211
2010,Houston,AI,50-54,2164
2010,Houston,AI,55-59,1411
2010,Houston,AI,60-64,875
2010,Houston,AI,65-69,559
2010,Houston,AI,70-74,324
2010,Houston,AI,75-79,225
2011,Houston,AI,50-54,2317
2011,Houston,AI,55-59,1553
2011,Houston,AI,60-64,959
2011,Houston,AI,65-69,598
2011,Houston,AI,70-74,348
2011,Houston,AI,75-79,238
2012,Houston,AI,50-54,2491
2012,Houston,AI,55-59,1681
2012,Houston,AI,60-64,1068
2012,Houston,AI,65-69,642
2012,Houston,AI,70-74,394
2012,Houston,AI,75-79,248
2013,Houston,AI,50-54,2662
2013,Houston,AI,55-59,1814
2013,Houston,AI,60-64,1189
2013,Houston,AI,65-69,695
2013,Houston,AI,70-74,427
2013,Houston,AI,75-79,255
2014,Houston,AI,50-54,2840
2014,Houston,AI,55-59,1989
2014,Houston,AI,60-64,1286
2014,Houston,AI,65-69,780
2014,Houston,AI,70-74,470
2014,Houston,AI,75-79,264
2015,Houston,AI,50-54,3025
2015,Houston,AI,55-59,2190
2015,Houston,AI,60-64,1401
2015,Houston,AI,65-69,859
2015,Houston,AI,70-74,520
2015,Houston,AI,75-79,288
2016,Houston,AI,50-54,3175
2016,Houston,AI,55-59,2341
2016,Houston,AI,60-64,1542
2016,Houston,AI,65-69,954
2016,Houston,AI,70-74,559
2016,Houston,AI,75-79,322
2017,Houston,AI,50-54,3294
2017,Houston,AI,55-59,2518
2017,Houston,AI,60-64,1670
2017,Houston,AI,65-69,1038
2017,Houston,AI,70-74,604
2017,Houston,AI,75-79,366
2018,Houston,AI,50-54,3415
2018,Houston,AI,55-59,2685
2018,Houston,AI,60-64,1805
2018,Houston,AI,65-69,1147
2018,Houston,AI,70-74,654
2018,Houston,AI,75-79,394
1999,San Antonio,AI,50-54,383
1999,San Antonio,AI,55-59,252
1999,San Antonio,AI,60-64,187
1999,San Antonio,AI,65-69,179
1999,San Antonio,AI,70-74,137
1999,San Antonio,AI,75-79,102
2000,San Antonio,AI,50-54,485
2000,San Antonio,AI,55-59,312
2000,San Antonio,AI,60-64,232
2000,San Antonio,AI,65-69,201
2000,San Antonio,AI,70-74,187
2000,San Antonio,AI,75-79,122
2001,San Antonio,AI,50-54,516
2001,San Antonio,AI,55-59,340
2001,San Antonio,AI,60-64,223
2001,San Antonio,AI,65-69,183
2001,San Antonio,AI,70-74,189
2001,San Antonio,AI,75-79,109
2002,San Antonio,AI,50-54,562
2002,San Antonio,AI,55-59,369
2002,San Antonio,AI,60-64,235
2002,San Antonio,AI,65-69,205
2002,San Antonio,AI,70-74,199
2002,San Antonio,AI,75-79,114
2003,San Antonio,AI,50-54,602
2003,San Antonio,AI,55-59,407
2003,San Antonio,AI,60-64,257
2003,San Antonio,AI,65-69,206
2003,San Antonio,AI,70-74,189
2003,San Antonio,AI,75-79,124
2004,San Antonio,AI,50-54,661
2004,San Antonio,AI,55-59,479
2004,San Antonio,AI,60-64,280
2004,San Antonio,AI,65-69,220
2004,San Antonio,AI,70-74,210
2004,San Antonio,AI,75-79,126
2005,San Antonio,AI,50-54,738
2005,San Antonio,AI,55-59,532
2005,San Antonio,AI,60-64,297
2005,San Antonio,AI,65-69,250
2005,San Antonio,AI,70-74,200
2005,San Antonio,AI,75-79,147
2006,San Antonio,AI,50-54,826
2006,San Antonio,AI,55-59,585
2006,San Antonio,AI,60-64,337
2006,San Antonio,AI,65-69,263
2006,San Antonio,AI,70-74,183
2006,San Antonio,AI,75-79,136
2007,San Antonio,AI,50-54,932
2007,San Antonio,AI,55-59,653
2007,San Antonio,AI,60-64,397
2007,San Antonio,AI,65-69,302
2007,San Antonio,AI,70-74,183
2007,San Antonio,AI,75-79,150
2008,San Antonio,AI,50-54,1039
2008,San Antonio,AI,55-59,739
2008,San Antonio,AI,60-64,488
2008,San Antonio,AI,65-69,342
2008,San Antonio,AI,70-74,205
2008,San Antonio,AI,75-79,146
2009,San Antonio,AI,50-54,1179
2009,San Antonio,AI,55-59,833
2009,San Antonio,AI,60-64,560
2009,San Antonio,AI,65-69,365
2009,San Antonio,AI,70-74,237
2009,San Antonio,AI,75-79,146
2010,San Antonio,AI,50-54,1297
2010,San Antonio,AI,55-59,907
2010,San Antonio,AI,60-64,642
2010,San Antonio,AI,65-69,381
2010,San Antonio,AI,70-74,256
2010,San Antonio,AI,75-79,158
2011,San Antonio,AI,50-54,1364
2011,San Antonio,AI,55-59,950
2011,San Antonio,AI,60-64,681
2011,San Antonio,AI,65-69,414
2011,San Antonio,AI,70-74,286
2011,San Antonio,AI,75-79,167
2012,San Antonio,AI,50-54,1399
2012,San Antonio,AI,55-59,1046
2012,San Antonio,AI,60-64,724
2012,San Antonio,AI,65-69,455
2012,San Antonio,AI,70-74,297
2012,San Antonio,AI,75-79,194
2013,San Antonio,AI,50-54,1466
2013,San Antonio,AI,55-59,1099
2013,San Antonio,AI,60-64,791
2013,San Antonio,AI,65-69,506
2013,San Antonio,AI,70-74,320
2013,San Antonio,AI,75-79,209
2014,San Antonio,AI,50-54,1512
2014,San Antonio,AI,55-59,1150
2014,San Antonio,AI,60-64,836
2014,San Antonio,AI,65-69,566
2014,San Antonio,AI,70-74,344
2014,San Antonio,AI,75-79,228
2015,San Antonio,AI,50-54,1524
2015,San Antonio,AI,55-59,1247
2015,San Antonio,AI,60-64,879
2015,San Antonio,AI,65-69,626
2015,San Antonio,AI,70-74,363
2015,San Antonio,AI,75-79,242
2016,San Antonio,AI,50-54,1564
2016,San Antonio,AI,55-59,1335
2016,San Antonio,AI,60-64,927
2016,San Antonio,AI,65-69,681
2016,San Antonio,AI,70-74,390
2016,San Antonio,AI,75-79,274
2017,San Antonio,AI,50-54,1576
2017,San Antonio,AI,55-59,1399
2017,San Antonio,AI,60-64,1045
2017,San Antonio,AI,65-69,703
2017,San Antonio,AI,70-74,433
2017,San Antonio,AI,75-79,285
2018,San Antonio,AI,50-54,1527
2018,San Antonio,AI,55-59,1451
2018,San Antonio,AI,60-64,1080
2018,San Antonio,AI,65-69,750
2018,San Antonio,AI,70-74,484
2018,San Antonio,AI,75-79,293
1999,Austin,A,50-54,35
1999,Austin,A,55-59,20
1999,Austin,A,60-64,16
1999,Austin,A,65-69,13
1999,Austin,A,70-74,12
1999,Austin,A,75-79,3
2000,Austin,A,50-54,45
2000,Austin,A,55-59,23
2000,Austin,A,60-64,17
2000,Austin,A,65-69,14
2000,Austin,A,70-74,15
2000,Austin,A,75-79,6
2001,Austin,A,50-54,54
2001,Austin,A,55-59,34
2001,Austin,A,60-64,26
2001,Austin,A,65-69,17
2001,Austin,A,70-74,19
2001,Austin,A,75-79,7
2002,Austin,A,50-54,72
2002,Austin,A,55-59,45
2002,Austin,A,60-64,28
2002,Austin,A,65-69,18
2002,Austin,A,70-74,23
2002,Austin,A,75-79,12
2003,Austin,A,50-54,91
2003,Austin,A,55-59,52
2003,Austin,A,60-64,36
2003,Austin,A,65-69,19
2003,Austin,A,70-74,20
2003,Austin,A,75-79,12
2004,Austin,A,50-54,113
2004,Austin,A,55-59,63
2004,Austin,A,60-64,39
2004,Austin,A,65-69,21
2004,Austin,A,70-74,27
2004,Austin,A,75-79,13
2005,Austin,A,50-54,126
2005,Austin,A,55-59,76
2005,Austin,A,60-64,55
2005,Austin,A,65-69,27
2005,Austin,A,70-74,34
2005,Austin,A,75-79,17
2006,Austin,A,50-54,134
2006,Austin,A,55-59,78
2006,Austin,A,60-64,50
2006,Austin,A,65-69,35
2006,Austin,A,70-74,30
2006,Austin,A,75-79,19
2007,Austin,A,50-54,144
2007,Austin,A,55-59,87
2007,Austin,A,60-64,60
2007,Austin,A,65-69,30
2007,Austin,A,70-74,31
2007,Austin,A,75-79,22
2008,Austin,A,50-54,164
2008,Austin,A,55-59,105
2008,Austin,A,60-64,64
2008,Austin,A,65-69,34
2008,Austin,A,70-74,34
2008,Austin,A,75-79,22
2009,Austin,A,50-54,193
2009,Austin,A,55-59,104
2009,Austin,A,60-64,71
2009,Austin,A,65-69,36
2009,Austin,A,70-74,34
2009,Austin,A,75-79,26
2010,Austin,A,50-54,237
2010,Austin,A,55-59,129
2010,Austin,A,60-64,84
2010,Austin,A,65-69,48
2010,Austin,A,70-74,43
2010,Austin,A,75-79,33
2011,Austin,A,50-54,258
2011,Austin,A,55-59,147
2011,Austin,A,60-64,93
2011,Austin,A,65-69,58
2011,Austin,A,70-74,46
2011,Austin,A,75-79,35
2012,Austin,A,50-54,261
2012,Austin,A,55-59,172
2012,Austin,A,60-64,106
2012,Austin,A,65-69,62
2012,Austin,A,70-74,40
2012,Austin,A,75-79,37
2013,Austin,A,50-54,254
2013,Austin,A,55-59,203
2013,Austin,A,60-64,116
2013,Austin,A,65-69,70
2013,Austin,A,70-74,41
2013,Austin,A,75-79,49
2014,Austin,A,50-54,272
2014,Austin,A,55-59,208
2014,Austin,A,60-64,134
2014,Austin,A,65-69,85
2014,Austin,A,70-74,44
2014,Austin,A,75-79,56
2015,Austin,A,50-54,283
2015,Austin,A,55-59,238
2015,Austin,A,60-64,140
2015,Austin,A,65-69,81
2015,Austin,A,70-74,50
2015,Austin,A,75-79,59
2016,Austin,A,50-54,277
2016,Austin,A,55-59,271
2016,Austin,A,60-64,149
2016,Austin,A,65-69,114
2016,Austin,A,70-74,52
2016,Austin,A,75-79,54
2017,Austin,A,50-54,295
2017,Austin,A,55-59,267
2017,Austin,A,60-64,169
2017,Austin,A,65-69,115
2017,Austin,A,70-74,63
2017,Austin,A,75-79,47
2018,Austin,A,50-54,309
2018,Austin,A,55-59,269
2018,Austin,A,60-64,197
2018,Austin,A,65-69,128
2018,Austin,A,70-74,70
2018,Austin,A,75-79,43
1999,Dallas,A,50-54,180
1999,Dallas,A,55-59,102
1999,Dallas,A,60-64,77
1999,Dallas,A,65-69,34
1999,Dallas,A,70-74,36
1999,Dallas,A,75-79,18
2000,Dallas,A,50-54,206
2000,Dallas,A,55-59,114
2000,Dallas,A,60-64,90
2000,Dallas,A,65-69,45
2000,Dallas,A,70-74,37
2000,Dallas,A,75-79,22
2001,Dallas,A,50-54,256
2001,Dallas,A,55-59,122
2001,Dallas,A,60-64,103
2001,Dallas,A,65-69,59
2001,Dallas,A,70-74,49
2001,Dallas,A,75-79,35
2002,Dallas,A,50-54,271
2002,Dallas,A,55-59,153
2002,Dallas,A,60-64,115
2002,Dallas,A,65-69,68
2002,Dallas,A,70-74,49
2002,Dallas,A,75-79,28
2003,Dallas,A,50-54,302
2003,Dallas,A,55-59,173
2003,Dallas,A,60-64,126
2003,Dallas,A,65-69,73
2003,Dallas,A,70-74,55
2003,Dallas,A,75-79,32
2004,Dallas,A,50-54,329
2004,Dallas,A,55-59,199
2004,Dallas,A,60-64,148
2004,Dallas,A,65-69,81
2004,Dallas,A,70-74,54
2004,Dallas,A,75-79,35
2005,Dallas,A,50-54,339
2005,Dallas,A,55-59,233
2005,Dallas,A,60-64,155
2005,Dallas,A,65-69,91
2005,Dallas,A,70-74,59
2005,Dallas,A,75-79,41
2006,Dallas,A,50-54,360
2006,Dallas,A,55-59,230
2006,Dallas,A,60-64,168
2006,Dallas,A,65-69,107
2006,Dallas,A,70-74,70
