Year,Race,Sex,Age,Pop
1999,Total,F,20-24,725660
1999,Total,M,20-24,773252
1999,Total,F,25-29,773408
1999,Total,M,25-29,800999
1999,Total,F,30-34,771770
1999,Total,M,30-34,795710
1999,Total,F,35-39,843958
1999,Total,M,35-39,853450
1999,Total,F,40-44,800286
1999,Total,M,40-44,803522
1999,Total,F,45-49,693432
1999,Total,M,45-49,680646
1999,Total,F,50-54,583232
1999,Total,M,50-54,563549
1999,Total,F,55-59,443651
1999,Total,M,55-59,419641
1999,Total,F,60-64,362968
1999,Total,M,60-64,330405
1999,Total,F,65-69,324351
1999,Total,M,65-69,280343
1999,Total,F,70-74,296860
1999,Total,M,70-74,232162
1999,Total,F,75-79,244968
1999,Total,M,75-79,171837
1999,Total,F,80-84,167615
1999,Total,M,80-84,98390
1999,Total,F,85+,167430
1999,Total,M,85+,66337
2000,Total,F,20-24,751055
2000,Total,M,20-24,800392
2000,Total,F,25-29,779057
2000,Total,M,25-29,808832
2000,Total,F,30-34,774843
2000,Total,M,30-34,800108
2000,Total,F,35-39,839635
2000,Total,M,35-39,849511
2000,Total,F,40-44,818923
2000,Total,M,40-44,824149
2000,Total,F,45-49,719719
2000,Total,M,45-49,707923
2000,Total,F,50-54,614936
2000,Total,M,50-54,595453
2000,Total,F,55-59,464141
2000,Total,M,55-59,440052
2000,Total,F,60-64,369104
2000,Total,M,60-64,337024
2000,Total,F,65-69,327237
2000,Total,M,65-69,284046
2000,Total,F,70-74,297702
2000,Total,M,70-74,235951
2000,Total,F,75-79,249881
2000,Total,M,75-79,176475
2000,Total,F,80-84,169286
2000,Total,M,80-84,101303
2000,Total,F,85+,170479
2000,Total,M,85+,68683
2001,Total,F,20-24,781330
2001,Total,M,20-24,831084
2001,Total,F,25-29,772457
2001,Total,M,25-29,802799
2001,Total,F,30-34,795457
2001,Total,M,30-34,815703
2001,Total,F,35-39,828457
2001,Total,M,35-39,838077
2001,Total,F,40-44,836307
2001,Total,M,40-44,840565
2001,Total,F,45-49,742705
2001,Total,M,45-49,732005
2001,Total,F,50-54,650246
2001,Total,M,50-54,629111
2001,Total,F,55-59,480389
2001,Total,M,55-59,457096
2001,Total,F,60-64,380285
2001,Total,M,60-64,347992
2001,Total,F,65-69,331152
2001,Total,M,65-69,288004
2001,Total,F,70-74,297812
2001,Total,M,70-74,239061
2001,Total,F,75-79,252465
2001,Total,M,75-79,179112
2001,Total,F,80-84,174513
2001,Total,M,80-84,106133
2001,Total,F,85+,169344
2001,Total,M,85+,69069
2002,Total,F,20-24,807313
2002,Total,M,20-24,862352
2002,Total,F,25-29,774359
2002,Total,M,25-29,801781
2002,Total,F,30-34,812665
2002,Total,M,30-34,830843
2002,Total,F,35-39,814988
2002,Total,M,35-39,824582
2002,Total,F,40-44,845297
2002,Total,M,40-44,848170
2002,Total,F,45-49,770144
2002,Total,M,45-49,759370
2002,Total,F,50-54,658262
2002,Total,M,50-54,635997
2002,Total,F,55-59,522524
2002,Total,M,55-59,498052
2002,Total,F,60-64,395448
2002,Total,M,60-64,363632
2002,Total,F,65-69,335250
2002,Total,M,65-69,292419
2002,Total,F,70-74,298236
2002,Total,M,70-74,241511
2002,Total,F,75-79,253778
2002,Total,M,75-79,181253
2002,Total,F,80-84,180763
2002,Total,M,80-84,111720
2002,Total,F,85+,168790
2002,Total,M,85+,69748
2003,Total,F,20-24,829174
2003,Total,M,20-24,881073
2003,Total,F,25-29,777053
2003,Total,M,25-29,800789
2003,Total,F,30-34,822546
2003,Total,M,30-34,834467
2003,Total,F,35-39,803342
2003,Total,M,35-39,810425
2003,Total,F,40-44,853922
2003,Total,M,40-44,853873
2003,Total,F,45-49,791427
2003,Total,M,45-49,781472
2003,Total,F,50-54,678888
2003,Total,M,50-54,655537
2003,Total,F,55-59,551852
2003,Total,M,55-59,525660
2003,Total,F,60-64,415680
2003,Total,M,60-64,384108
2003,Total,F,65-69,342877
2003,Total,M,65-69,300086
2003,Total,F,70-74,299510
2003,Total,M,70-74,243805
2003,Total,F,75-79,255561
2003,Total,M,75-79,183749
2003,Total,F,80-84,185491
2003,Total,M,80-84,116262
2003,Total,F,85+,170564
2003,Total,M,85+,72055
2004,Total,F,20-24,839827
2004,Total,M,20-24,895229
2004,Total,F,25-29,790265
2004,Total,M,25-29,812073
2004,Total,F,30-34,825093
2004,Total,M,30-34,835692
2004,Total,F,35-39,798736
2004,Total,M,35-39,805739
2004,Total,F,40-44,862041
2004,Total,M,40-44,859456
2004,Total,F,45-49,808455
2004,Total,M,45-49,801275
2004,Total,F,50-54,702599
2004,Total,M,50-54,677517
2004,Total,F,55-59,581677
2004,Total,M,55-59,553723
2004,Total,F,60-64,437006
2004,Total,M,60-64,404637
2004,Total,F,65-69,351475
2004,Total,M,65-69,308739
2004,Total,F,70-74,300645
2004,Total,M,70-74,246446
2004,Total,F,75-79,256047
2004,Total,M,75-79,186451
2004,Total,F,80-84,192253
2004,Total,M,80-84,121053
2004,Total,F,85+,171804
2004,Total,M,85+,74272
2005,Total,F,20-24,843505
2005,Total,M,20-24,903404
2005,Total,F,25-29,810798
2005,Total,M,25-29,831599
2005,Total,F,30-34,822980
2005,Total,M,30-34,832317
2005,Total,F,35-39,808021
2005,Total,M,35-39,814427
2005,Total,F,40-44,859708
2005,Total,M,40-44,854464
2005,Total,F,45-49,826714
2005,Total,M,45-49,821256
2005,Total,F,50-54,726764
2005,Total,M,50-54,703036
2005,Total,F,55-59,615699
2005,Total,M,55-59,585006
2005,Total,F,60-64,458321
2005,Total,M,60-64,423900
2005,Total,F,65-69,358583
