GEOID,pov_pop,pov_pop_se,pov_rate,pov_rate_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,npoor,nforeign_born,pop,pop_se,api,api_se,asian,asian_se,black,black_se,latino,latino_se,white,white_se,nasian,nblack,nlatino,nPI,nwhite
48001950100,4972,336.17021276595744,0.1003620273531778,0.02042075642133648,52522.792222320626,3970.5382566058383,25294.35706661322,1884.212735893411,0.012462311557788945,0.007330920932052105,4972,62,4975,336.17021276595744,0.0026130653266331657,0.015864162106284378,0.0026130653266331657,0.0032944422777856593,0.10693467336683417,0.03106262505043856,0.020703517587939698,0.010907889474922982,0.8651256281407035,0.016897628376051566,13,532,103,0,4304
48001950200,4248,398.17629179331306,0.09416195856873823,0.023283242715764235,57213.19971380228,9733.288088990339,27607.38576096431,2732.5068972664153,0.009870740305522914,0.006714462199471144,4248,42,4255,398.7841945288754,0.020211515863689775,0.014001928711536655,0.004230317273795535,0.00584414919164217,0.13584018801410105,0.045988184950593244,0.01927144535840188,0.00823342657549452,0.8152761457109283,0.014216849254347444,18,578,82,68,3469
48001950300,932,205.47112462006078,0.194206008583691,0.07769018722605407,43972.57023264052,6127.856798509174,25338.448803702857,6198.125401116504,0.09871244635193133,0.0649070534809822,932,92,932,205.47112462006078,0,0.11714854639588235,0,0.0828365315626753,0.15665236051502146,0.03735814745360863,0.1072961373390558,0.06635330523685959,0.7360515021459227,0.14339228263102605,0,146,100,0,686
48001950400,522,115.5015197568389,0,0.1478997076942785,96006.77834126513,29547.585187089757,3894.3728867281634,591.8499827854351,0.058513489369304984,0.01067997585194356,522,655,11194,872.9483282674772,0.0021440057173485795,0.00704903533241711,0.0021440057173485795,0.001456701420329517,0.44684652492406646,0.039359073489038575,0.23199928533142755,0.01361984438654319,0.31356083616222974,0.03343890837694616,24,5002,2597,0,3510
48001950500,3959,343.46504559270517,0.19373579186663298,0.04288910437792737,45680.23129343656,9610.8613483652,25005.973272675576,3812.615005385245,0.15043013252731924,0.033395829147244135,3959,647,4301,433.43465045592706,0.004882585445245292,0.0031915299716977425,0.00372006510113927,0.00294436656442982,0.25203441060218557,0.05114154214989073,0.2873750290630086,0.04756514627657955,0.44803534061846084,0.04378735535267078,16,1084,1236,5,1927
48001950600,6306,457.75075987841944,0.24785918173168411,0.05659157760868438,44152.51218670905,5680.1661138562995,16272.234323216973,1050.4069461920208,0.07069219440353461,0.01768241684748347,6306,480,6790,475.9878419452887,0.03814432989690722,0.014743236930659556,0.03814432989690722,0.009385181010458377,0.2877761413843888,0.05190457819645674,0.20765832106038293,0.026733460085012314,0.4533136966126657,0.028260489950974015,259,1954,1410,0,3078
48029181504,5840,388.4498480243161,0.15017123287671233,0.035144708254948816,40842.05689927611,3593.1161745602917,27888.619543482007,1965.3476172544497,0.08938356164383561,0.023845544205128848,5840,522,5840,388.4498480243161,0.015410958904109588,0.015874436861945708,0.015410958904109588,0.008788319739786552,0.05325342465753425,0.013813815326907413,0.5327054794520548,0.04523345920691578,0.3678082191780822,0.031346521493084215,90,311,3111,0,2148
48029181505,4487,271.1246200607903,0.09159794963227101,0.03725479459348165,67123.11554184127,3477.9336197709595,29738.08916410689,2043.584824281166,0.07064854022732338,0.01891992982196716,4487,317,4487,271.1246200607903,0.03677289948740807,0.028229488918961217,0.03677289948740807,0.022379792512782794,0.02050367728994874,0.010358198700850136,0.5085803432137286,0.04512928870445437,0.42857142857142855,0.03760257485675964,165,92,2282,0,1923
48029181506,4167,250.45592705167172,0.15910727141828654,0.05815651658109824,41627.36648689969,14309.440281469646,26532.500710833094,1966.0720358380304,0.19438444924406048,0.039353130127464074,4167,810,4167,250.45592705167172,0.04343652507799376,0.02991629031872315,0.04343652507799376,0.023488723423665245,0.06527477801775858,0.04300335918865972,0.4703623710103192,0.04954222937179623,0.38348932085433163,0.05281394299458497,181,272,1960,0,1598
48029181601,2799,142.85714285714286,0.15362629510539477,0.039406864586351904,40697.86500230729,12365.100803139036,24237.34704503186,1619.0755343028734,0.11509769094138543,0.036896763105577594,2799,324,2815,142.85714285714286,0,0.03878594857583032,0,0.027425807252722336,0.06358792184724689,0.038086906651112556,0.7296625222024867,0.04447851227580788,0.20674955595026642,0.02673646088805627,0,179,2054,0,582
