GEOID,Age,Race,pop
48001950100,50-54,API,0
48001950100,50-54,BLACK,25
48001950100,50-54,LATINO,4
48001950100,50-54,WHITE,277
48001950100,55-59,API,0
48001950100,55-59,BLACK,18
48001950100,55-59,LATINO,4
48001950100,55-59,WHITE,241
48001950100,60-64,API,0
48001950100,60-64,BLACK,18
48001950100,60-64,LATINO,1
48001950100,60-64,WHITE,231
48001950100,65-69,API,0
48001950100,65-69,BLACK,16
48001950100,65-69,LATINO,2
48001950100,65-69,WHITE,243
48001950100,70-74,API,0
48001950100,70-74,BLACK,18
48001950100,70-74,LATINO,3
48001950100,70-74,WHITE,176
48001950100,75-79,API,0
48001950100,75-79,BLACK,10
48001950100,75-79,LATINO,0
48001950100,75-79,WHITE,106
48001950100,80-84,API,0
48001950100,80-84,BLACK,11
48001950100,80-84,LATINO,1
48001950100,80-84,WHITE,90
48001950200,50-54,API,4
48001950200,50-54,BLACK,10
48001950200,50-54,LATINO,3
48001950200,50-54,WHITE,195
48001950200,55-59,API,4
48001950200,55-59,BLACK,29
48001950200,55-59,LATINO,5
48001950200,55-59,WHITE,191
48001950200,60-64,API,0
48001950200,60-64,BLACK,19
48001950200,60-64,LATINO,0
48001950200,60-64,WHITE,180
48001950200,65-69,API,0
48001950200,65-69,BLACK,15
48001950200,65-69,LATINO,2
48001950200,65-69,WHITE,138
48001950200,70-74,API,0
48001950200,70-74,BLACK,8
48001950200,70-74,LATINO,0
48001950200,70-74,WHITE,118
48001950200,75-79,API,0
48001950200,75-79,BLACK,8
48001950200,75-79,LATINO,1
48001950200,75-79,WHITE,71
48001950200,80-84,API,0
48001950200,80-84,BLACK,7
48001950200,80-84,LATINO,1
48001950200,80-84,WHITE,57
48001950300,50-54,API,0
48001950300,50-54,BLACK,11
48001950300,50-54,LATINO,2
48001950300,50-54,WHITE,39
48001950300,55-59,API,0
48001950300,55-59,BLACK,4
48001950300,55-59,LATINO,0
48001950300,55-59,WHITE,37
48001950300,60-64,API,0
48001950300,60-64,BLACK,3
48001950300,60-64,LATINO,0
48001950300,60-64,WHITE,22
48001950300,65-69,API,0
48001950300,65-69,BLACK,2
48001950300,65-69,LATINO,1
48001950300,65-69,WHITE,17
48001950300,70-74,API,0
48001950300,70-74,BLACK,9
48001950300,70-74,LATINO,0
48001950300,70-74,WHITE,11
48001950300,75-79,API,0
48001950300,75-79,BLACK,7
48001950300,75-79,LATINO,0
48001950300,75-79,WHITE,18
48001950300,80-84,API,0
48001950300,80-84,BLACK,5
48001950300,80-84,LATINO,0
48001950300,80-84,WHITE,6
48001950400,50-54,API,0
48001950400,50-54,BLACK,219
48001950400,50-54,LATINO,100
48001950400,50-54,WHITE,198
48001950400,55-59,API,4
48001950400,55-59,BLACK,96
48001950400,55-59,LATINO,50
48001950400,55-59,WHITE,106
48001950400,60-64,API,2
48001950400,60-64,BLACK,47
48001950400,60-64,LATINO,18
48001950400,60-64,WHITE,56
48001950400,65-69,API,0
48001950400,65-69,BLACK,16
48001950400,65-69,LATINO,10
48001950400,65-69,WHITE,28
48001950400,70-74,API,0
48001950400,70-74,BLACK,3
48001950400,70-74,LATINO,3
48001950400,70-74,WHITE,11
48001950400,75-79,API,0
48001950400,75-79,BLACK,6
48001950400,75-79,LATINO,3
48001950400,75-79,WHITE,4
48001950400,80-84,API,0
48001950400,80-84,BLACK,1
48001950400,80-84,LATINO,2
48001950400,80-84,WHITE,2
48001950500,50-54,API,2
48001950500,50-54,BLACK,31
48001950500,50-54,LATINO,20
48001950500,50-54,WHITE,143
48001950500,55-59,API,0
48001950500,55-59,BLACK,18
48001950500,55-59,LATINO,16
48001950500,55-59,WHITE,108
