GEOID,Age,Race,estimate,moe
48001950100,55-64,API,0,127
48001950100,55-64,BLACK,34,34.058772731852805
48001950100,55-64,LATINO,0,127
48001950100,55-64,WHITE,689,158.47397262642215
48001950100,65-74,API,0,127
48001950100,65-74,BLACK,97,46.400431032480725
48001950100,65-74,LATINO,0,127
48001950100,65-74,WHITE,480,112.69871339105873
48001950100,75-84,API,0,127
48001950100,75-84,BLACK,3,5
48001950100,75-84,LATINO,0,127
48001950100,75-84,WHITE,138,55
48001950401,55-64,API,0,127
48001950401,55-64,BLACK,149,145.98972566588375
48001950401,55-64,LATINO,86,136.8575902169843
48001950401,55-64,WHITE,137,136.12494260788506
48001950401,65-74,API,0,127
48001950401,65-74,BLACK,28,129.634100452003
48001950401,65-74,LATINO,19,128.89142717807107
48001950401,65-74,WHITE,68,132.00378782444085
48001950401,75-84,API,0,127
48001950401,75-84,BLACK,0,127
48001950401,75-84,LATINO,0,127
48001950401,75-84,WHITE,0,127
48001950402,55-64,API,0,127
48001950402,55-64,BLACK,202,198.07321878537743
48001950402,55-64,LATINO,21,129.24782396620841
48001950402,55-64,WHITE,109,156.236999459155
48001950402,65-74,API,0,127
48001950402,65-74,BLACK,10,127.88275880665071
48001950402,65-74,LATINO,0,127
48001950402,65-74,WHITE,93,179.60512242138307
48001950402,75-84,API,0,127
48001950402,75-84,BLACK,0,127
48001950402,75-84,LATINO,0,127
48001950402,75-84,WHITE,0,127
48001950500,55-64,API,5,220.15449121014996
48001950500,55-64,BLACK,28,27.80287754891569
48001950500,55-64,LATINO,63,34.828149534535996
48001950500,55-64,WHITE,274,90.7358804442873
48001950500,65-74,API,0,127
48001950500,65-74,BLACK,38,36.05551275463989
48001950500,65-74,LATINO,51,55.60575509783138
48001950500,65-74,WHITE,326,130.83195328359201
48001950500,75-84,API,6,127.39309243440164
48001950500,75-84,BLACK,10,16
48001950500,75-84,LATINO,10,17
48001950500,75-84,WHITE,90,34
48001950600,55-64,API,0,127
48001950600,55-64,BLACK,31,30
48001950600,55-64,LATINO,84,64.4980619863884
48001950600,55-64,WHITE,346,118.1397477566293
48001950600,65-74,API,10,220.1158785730825
48001950600,65-74,BLACK,58,41.23105625617661
48001950600,65-74,LATINO,23,27.586228448267445
48001950600,65-74,WHITE,251,82.37718130647589
48001950600,75-84,API,0,127
48001950600,75-84,BLACK,54,51
48001950600,75-84,LATINO,0,127
48001950600,75-84,WHITE,114,59
48001950700,55-64,API,0,127
48001950700,55-64,BLACK,154,104.12012293500234
48001950700,55-64,LATINO,0,127
48001950700,55-64,WHITE,101,61.326992425847855
48001950700,65-74,API,0,127
48001950700,65-74,BLACK,66,39.84971769034255
48001950700,65-74,LATINO,12,13.45362404707371
48001950700,65-74,WHITE,57,34.40930106817051
48001950700,75-84,API,0,127
48001950700,75-84,BLACK,33,25
48001950700,75-84,LATINO,0,127
48001950700,75-84,WHITE,0,127
48001950800,55-64,API,0,127
48001950800,55-64,BLACK,108,80.06247560499239
48001950800,55-64,LATINO,21,24.08318915758459
48001950800,55-64,WHITE,391,116.84605256490268
48001950800,65-74,API,0,127
48001950800,65-74,BLACK,36,139.20488497175666
48001950800,65-74,LATINO,42,37.64306044943742
48001950800,65-74,WHITE,309,87.80091115700337
48001950800,75-84,API,0,127
48001950800,75-84,BLACK,30,45
48001950800,75-84,LATINO,0,127
48001950800,75-84,WHITE,66,34
48001950901,55-64,API,0,127
48001950901,55-64,BLACK,54,140.45995870709916
48001950901,55-64,LATINO,0,127
48001950901,55-64,WHITE,549,192.4266093865399
48001950901,65-74,API,0,127
48001950901,65-74,BLACK,0,127
48001950901,65-74,LATINO,39,135.76818478568535
48001950901,65-74,WHITE,317,105.4229576515476
48001950901,75-84,API,0,127
48001950901,75-84,BLACK,0,127
48001950901,75-84,LATINO,0,127
48001950901,75-84,WHITE,139,77
48001950902,55-64,API,0,127
48001950902,55-64,BLACK,61,47.80167361086848
48001950902,55-64,LATINO,14,128.7245120402482
48001950902,55-64,WHITE,940,185.88437266214714
48001950902,65-74,API,14,221.27584594799316
48001950902,65-74,BLACK,25,22.847319317591726
48001950902,65-74,LATINO,80,59.464274989274024
48001950902,65-74,WHITE,466,120.44085685513866
48001950902,75-84,API,0,127
48001950902,75-84,BLACK,0,127
48001950902,75-84,LATINO,0,127
48001950902,75-84,WHITE,79,33
48001951000,55-64,API,0,127
48001951000,55-64,BLACK,37,130.728726758888
48001951000,55-64,LATINO,12,15.556349186104045
48001951000,55-64,WHITE,805,162.63148526653748
48001951000,65-74,API,0,127
48001951000,65-74,BLACK,57,43.829214001622255
48001951000,65-74,LATINO,30,132.5631924781536
48001951000,65-74,WHITE,544,118.56221995222593
48001951000,75-84,API,0,127
48001951000,75-84,BLACK,14,16
48001951000,75-84,LATINO,0,127
48001951000,75-84,WHITE,191,97
48001951100,55-64,API,0,127
48001951100,55-64,BLACK,56,42.5205832509386
48001951100,55-64,LATINO,0,127
48001951100,55-64,WHITE,553,157.42934923323543
48001951100,65-74,API,0,127
48001951100,65-74,BLACK,103,53.31041174104736
48001951100,65-74,LATINO,0,127
48001951100,65-74,WHITE,403,111.21151019566275
48001951100,75-84,API,0,127
48001951100,75-84,BLACK,36,41
48001951100,75-84,LATINO,0,127
48001951100,75-84,WHITE,153,83
48003950100,55-64,API,0,127
48003950100,55-64,BLACK,0,127
48003950100,55-64,LATINO,30,135.41787178950938
48003950100,55-64,WHITE,128,67.60177512462228
48003950100,65-74,API,0,127
48003950100,65-74,BLACK,0,127
48003950100,65-74,LATINO,0,127
48003950100,65-74,WHITE,105,44.654227123532216
48003950100,75-84,API,0,127
48003950100,75-84,BLACK,0,127
48003950100,75-84,LATINO,0,127
48003950100,75-84,WHITE,37,46
48003950200,55-64,API,0,127
48003950200,55-64,BLACK,45,43.174066289845804
48003950200,55-64,LATINO,191,90.9065454189081
48003950200,55-64,WHITE,460,109.34349546269316
48003950200,65-74,API,18,220.62638101550775
48003950200,65-74,BLACK,0,127
48003950200,65-74,LATINO,19,130.728726758888
48003950200,65-74,WHITE,316,63.60031446463138
48003950200,75-84,API,0,127
48003950200,75-84,BLACK,6,9
48003950200,75-84,LATINO,60,57
48003950200,75-84,WHITE,177,71
48003950300,55-64,API,0,127
48003950300,55-64,BLACK,4,127.09838708654017
48003950300,55-64,LATINO,177,73.24616030891995
48003950300,55-64,WHITE,131,65
48003950300,65-74,API,0,127
48003950300,65-74,BLACK,4,127.09838708654017
48003950300,65-74,LATINO,61,56.72741841473134
48003950300,65-74,WHITE,129,53.75872022286245
48003950300,75-84,API,0,127
48003950300,75-84,BLACK,0,127
48003950300,75-84,LATINO,57,63
48003950300,75-84,WHITE,17,23
48003950400,55-64,API,0,127
48003950400,55-64,BLACK,0,127
48003950400,55-64,LATINO,73,60.207972893961475
48003950400,55-64,WHITE,170,86.09297300012354
48003950400,65-74,API,0,127
48003950400,65-74,BLACK,0,127
48003950400,65-74,LATINO,0,127
48003950400,65-74,WHITE,101,44.553338819890925
48003950400,75-84,API,0,127
48003950400,75-84,BLACK,0,127
48003950400,75-84,LATINO,0,127
48003950400,75-84,WHITE,51,41
48005000101,55-64,API,0,127
48005000101,55-64,BLACK,14,129.0658746532173
48005000101,55-64,LATINO,25,132.85330255586422
48005000101,55-64,WHITE,704,127.34991166074674
48005000101,65-74,API,0,127
48005000101,65-74,BLACK,15,128.89142717807107
48005000101,65-74,LATINO,0,127
48005000101,65-74,WHITE,282,109.34349546269316
48005000101,75-84,API,0,127
48005000101,75-84,BLACK,0,127
48005000101,75-84,LATINO,0,127
48005000101,75-84,WHITE,136,81
48005000102,55-64,API,0,127
48005000102,55-64,BLACK,0,127
48005000102,55-64,LATINO,56,65.79513659838392
48005000102,55-64,WHITE,471,133.73481222179961
48005000102,65-74,API,0,127
48005000102,65-74,BLACK,0,127
48005000102,65-74,LATINO,79,73.00684899377592
48005000102,65-74,WHITE,320,124.4025723206719
48005000102,75-84,API,0,127
48005000102,75-84,BLACK,0,127
48005000102,75-84,LATINO,0,127
48005000102,75-84,WHITE,46,48
48005000200,55-64,API,0,127
48005000200,55-64,BLACK,66,65.19202405202648
48005000200,55-64,LATINO,101,83.43860018001261
48005000200,55-64,WHITE,626,194.82556300444764
48005000200,65-74,API,0,127
48005000200,65-74,BLACK,36,40.607881008493905
48005000200,65-74,LATINO,4,13.892443989449804
48005000200,65-74,WHITE,539,161.48374531202822
48005000200,75-84,API,0,127
48005000200,75-84,BLACK,0,127
48005000200,75-84,LATINO,0,127
48005000200,75-84,WHITE,43,34
48005000301,55-64,API,0,127
48005000301,55-64,BLACK,35,44.553338819890925
48005000301,55-64,LATINO,51,150.0966355385756
48005000301,55-64,WHITE,565,130.96946208945045
48005000301,65-74,API,0,127
48005000301,65-74,BLACK,0,127
48005000301,65-74,LATINO,0,127
48005000301,65-74,WHITE,395,98.08159868191383
48005000301,75-84,API,0,127
48005000301,75-84,BLACK,0,127
48005000301,75-84,LATINO,0,127
48005000301,75-84,WHITE,88,56
48005000302,55-64,API,0,127
48005000302,55-64,BLACK,0,127
48005000302,55-64,LATINO,36,42.42640687119285
