GEOID,Age,estimate,moe
48001950100,50-54,364,107.29864864013899
48001950100,55-59,414,91.2414379544733
48001950100,60-64,384,107.99074034379059
48001950100,65-69,286,70.28513356322232
48001950100,70-74,221,57.8013840664737
48001950100,75-79,134,38.18376618407357
48001950100,80-84,187,64.35060217278468
48001950401,50-54,389,102.70345661174214
48001950401,55-59,214,58.309518948453004
48001950401,60-64,59,48.29078587059855
48001950401,65-69,55,47.24404724407086
48001950401,70-74,0,18
48001950401,75-79,0,18
48001950401,80-84,0,18
48001950402,50-54,809,174.92855684535903
48001950402,55-59,456,117.38824472663352
48001950402,60-64,204,72.12489168102785
48001950402,65-69,144,69.46941773183363
48001950402,70-74,50,40.24922359499622
48001950402,75-79,0,18
48001950402,80-84,0,18
48001950500,50-54,400,126.73200069437868
48001950500,55-59,241,94.04786015641186
48001950500,60-64,140,57.532599454570104
48001950500,65-69,180,70.37755323965163
48001950500,70-74,137,57.982756057296896
48001950500,75-79,53,33.421549934136806
48001950500,80-84,163,96.20810776644555
48001950600,50-54,387,135.2479205015737
48001950600,55-59,239,114.85643212288984
48001950600,60-64,432,144.15269681833914
48001950600,65-69,318,115.42096863222038
48001950600,70-74,158,75.47184905645283
48001950600,75-79,120,70.71067811865476
48001950600,80-84,105,84.8528137423857
48001950700,50-54,136,53.225933528685054
48001950700,55-59,106,41.88078318274385
48001950700,60-64,104,55.65968020030299
48001950700,65-69,95,41.916583830269374
48001950700,70-74,90,41.10960958218893
48001950700,75-79,22,18.601075237738275
48001950700,80-84,19,15
48001950800,50-54,206,99.15644204992432
48001950800,55-59,292,96.87620966986684
48001950800,60-64,239,115.86630226256467
48001950800,65-69,198,88.30628516702534
48001950800,70-74,105,71.55417527999327
48001950800,75-79,184,88.3911760301898
48001950800,80-84,145,82.13403679352427
48001950901,50-54,386,96.02083107326243
48001950901,55-59,517,146.4137971640651
48001950901,60-64,566,145.8012345626744
48001950901,65-69,363,111.71839597846005
48001950901,70-74,231,89.89994438263018
48001950901,75-79,98,41.72529209005013
48001950901,80-84,88,50.80354318352215
48001950902,50-54,293,145.3409783921933
48001950902,55-59,219,83.09632964216891
