GEOID,NAME,Age,estimate,approx_moe
48001950100,"Census Tract 9501, Anderson County, Texas",55-64,46,31.622776601683793
48001950100,"Census Tract 9501, Anderson County, Texas",65-74,3,14.866068747318506
48001950401,"Census Tract 9504.01, Anderson County, Texas",55-64,85,50
48001950401,"Census Tract 9504.01, Anderson County, Texas",65-74,9,21.2602916254693
48001950402,"Census Tract 9504.02, Anderson County, Texas",55-64,269,76.40026177965623
48001950402,"Census Tract 9504.02, Anderson County, Texas",65-74,42,38.948684188300895
48001950500,"Census Tract 9505, Anderson County, Texas",55-64,85,75.45197147855052
48001950500,"Census Tract 9505, Anderson County, Texas",65-74,71,60.166435825965294
48001950600,"Census Tract 9506, Anderson County, Texas",55-64,307,144.80676779764127
48001950600,"Census Tract 9506, Anderson County, Texas",65-74,149,66.24198064671678
48001950700,"Census Tract 9507, Anderson County, Texas",55-64,69,43.829214001622255
48001950700,"Census Tract 9507, Anderson County, Texas",65-74,57,44.64302857109943
48001950800,"Census Tract 9508, Anderson County, Texas",55-64,131,84.05950273467003
48001950800,"Census Tract 9508, Anderson County, Texas",65-74,16,25.495097567963924
48001950901,"Census Tract 9509.01, Anderson County, Texas",55-64,107,75.7099729229908
48001950901,"Census Tract 9509.01, Anderson County, Texas",65-74,101,61.61168720299745
48001950902,"Census Tract 9509.02, Anderson County, Texas",55-64,0,14
48001950902,"Census Tract 9509.02, Anderson County, Texas",65-74,0,14
48001951000,"Census Tract 9510, Anderson County, Texas",55-64,74,52.43090691567332
48001951000,"Census Tract 9510, Anderson County, Texas",65-74,30,32.57299494980466
48001951100,"Census Tract 9511, Anderson County, Texas",55-64,33,29.732137494637012
48001951100,"Census Tract 9511, Anderson County, Texas",65-74,26,40.496913462633174
48003950100,"Census Tract 9501, Andrews County, Texas",55-64,0,14
48003950100,"Census Tract 9501, Andrews County, Texas",65-74,0,14
48003950200,"Census Tract 9502, Andrews County, Texas",55-64,0,19
48003950200,"Census Tract 9502, Andrews County, Texas",65-74,0,19
48003950300,"Census Tract 9503, Andrews County, Texas",55-64,0,14
48003950300,"Census Tract 9503, Andrews County, Texas",65-74,0,14
48003950400,"Census Tract 9504, Andrews County, Texas",55-64,0,14
48003950400,"Census Tract 9504, Andrews County, Texas",65-74,0,14
48005000101,"Census Tract 1.01, Angelina County, Texas",55-64,11,28.319604517012593
48005000101,"Census Tract 1.01, Angelina County, Texas",65-74,125,87.96590248499699
48005000102,"Census Tract 1.02, Angelina County, Texas",55-64,15,23.600847442411894
48005000102,"Census Tract 1.02, Angelina County, Texas",65-74,9,19.79898987322333
48005000200,"Census Tract 2, Angelina County, Texas",55-64,150,78.56844150166147
48005000200,"Census Tract 2, Angelina County, Texas",65-74,42,41.593268686170845
48005000301,"Census Tract 3.01, Angelina County, Texas",55-64,105,80.44874144447506
48005000301,"Census Tract 3.01, Angelina County, Texas",65-74,20,38.948684188300895
48005000302,"Census Tract 3.02, Angelina County, Texas",55-64,67,48.76474136094644
48005000302,"Census Tract 3.02, Angelina County, Texas",65-74,19,35.510561809129406
48005000400,"Census Tract 4, Angelina County, Texas",55-64,51,55.362442142665635
48005000400,"Census Tract 4, Angelina County, Texas",65-74,70,51.264022471905186
48005000500,"Census Tract 5, Angelina County, Texas",55-64,365,96.89685237405806
48005000500,"Census Tract 5, Angelina County, Texas",65-74,208,68.76772498781678
48005000600,"Census Tract 6, Angelina County, Texas",55-64,195,72.00694410957877
48005000600,"Census Tract 6, Angelina County, Texas",65-74,138,54.48853090330111
48005000700,"Census Tract 7, Angelina County, Texas",55-64,27,27.51363298439521
48005000700,"Census Tract 7, Angelina County, Texas",65-74,40,37.8021163428716
48005000800,"Census Tract 8, Angelina County, Texas",55-64,174,110.78808600206071
48005000800,"Census Tract 8, Angelina County, Texas",65-74,15,31.400636936215164
48005000901,"Census Tract 9.01, Angelina County, Texas",55-64,78,61.40032573203501
48005000901,"Census Tract 9.01, Angelina County, Texas",65-74,80,68.6804193347711
48005000902,"Census Tract 9.02, Angelina County, Texas",55-64,52,42.5440947723653
48005000902,"Census Tract 9.02, Angelina County, Texas",65-74,0,14
48005001001,"Census Tract 10.01, Angelina County, Texas",55-64,110,53.2634959423431
48005001001,"Census Tract 10.01, Angelina County, Texas",65-74,66,35
48005001002,"Census Tract 10.02, Angelina County, Texas",55-64,104,81.8413098624405
48005001002,"Census Tract 10.02, Angelina County, Texas",65-74,0,14
48005001100,"Census Tract 11, Angelina County, Texas",55-64,42,29.68164415931166
48005001100,"Census Tract 11, Angelina County, Texas",65-74,39,30.4138126514911
48005001200,"Census Tract 12, Angelina County, Texas",55-64,4,15.231546211727817
48005001200,"Census Tract 12, Angelina County, Texas",65-74,4,16.1245154965971
48005001300,"Census Tract 13, Angelina County, Texas",55-64,91,76.38062581571324
48005001300,"Census Tract 13, Angelina County, Texas",65-74,0,19
48007950100,"Census Tract 9501, Aransas County, Texas",55-64,0,19
48007950100,"Census Tract 9501, Aransas County, Texas",65-74,0,19
48007950200,"Census Tract 9502, Aransas County, Texas",55-64,0,14
48007950200,"Census Tract 9502, Aransas County, Texas",65-74,0,14
48007950300,"Census Tract 9503, Aransas County, Texas",55-64,11,14.866068747318506
48007950300,"Census Tract 9503, Aransas County, Texas",65-74,11,35.510561809129406
48007950400,"Census Tract 9504, Aransas County, Texas",55-64,8,22.80350850198276
48007950400,"Census Tract 9504, Aransas County, Texas",65-74,21,22.02271554554524
48007950500,"Census Tract 9505, Aransas County, Texas",55-64,0,19
48007950500,"Census Tract 9505, Aransas County, Texas",65-74,0,19
48007990000,"Census Tract 9900, Aransas County, Texas",55-64,0,14
48007990000,"Census Tract 9900, Aransas County, Texas",65-74,0,14
48009020100,"Census Tract 201, Archer County, Texas",55-64,0,14
48009020100,"Census Tract 201, Archer County, Texas",65-74,2,14.560219778561036
48009020200,"Census Tract 202, Archer County, Texas",55-64,0,14
48009020200,"Census Tract 202, Archer County, Texas",65-74,0,14
48009020300,"Census Tract 203, Archer County, Texas",55-64,0,14
48009020300,"Census Tract 203, Archer County, Texas",65-74,2,14.866068747318506
48011950100,"Census Tract 9501, Armstrong County, Texas",55-64,0,14
48011950100,"Census Tract 9501, Armstrong County, Texas",65-74,0,14
48013960100,"Census Tract 9601, Atascosa County, Texas",55-64,25,47.01063709417264
48013960100,"Census Tract 9601, Atascosa County, Texas",65-74,0,19
48013960201,"Census Tract 9602.01, Atascosa County, Texas",55-64,0,19
48013960201,"Census Tract 9602.01, Atascosa County, Texas",65-74,0,19
48013960202,"Census Tract 9602.02, Atascosa County, Texas",55-64,0,21
48013960202,"Census Tract 9602.02, Atascosa County, Texas",65-74,20,36.61966684720111
48013960300,"Census Tract 9603, Atascosa County, Texas",55-64,0,14
48013960300,"Census Tract 9603, Atascosa County, Texas",65-74,0,14
48013960401,"Census Tract 9604.01, Atascosa County, Texas",55-64,0,14
48013960401,"Census Tract 9604.01, Atascosa County, Texas",65-74,0,14
48013960402,"Census Tract 9604.02, Atascosa County, Texas",55-64,6,23.021728866442675
48013960402,"Census Tract 9604.02, Atascosa County, Texas",65-74,0,19
48013960500,"Census Tract 9605, Atascosa County, Texas",55-64,0,14
48013960500,"Census Tract 9605, Atascosa County, Texas",65-74,0,14
48013960600,"Census Tract 9606, Atascosa County, Texas",55-64,12,34.66987164671943
48013960600,"Census Tract 9606, Atascosa County, Texas",65-74,0,19
48015760100,"Census Tract 7601, Austin County, Texas",55-64,39,34.88552708502482
48015760100,"Census Tract 7601, Austin County, Texas",65-74,29,25.495097567963924
48015760200,"Census Tract 7602, Austin County, Texas",55-64,153,79.19595949289332
48015760200,"Census Tract 7602, Austin County, Texas",65-74,106,65.25335240430181
48015760300,"Census Tract 7603, Austin County, Texas",55-64,85,82.22530024268686
48015760300,"Census Tract 7603, Austin County, Texas",65-74,10,24.839484696748443
48015760400,"Census Tract 7604, Austin County, Texas",55-64,14,18.601075237738275
48015760400,"Census Tract 7604, Austin County, Texas",65-74,0,14
48015760501,"Census Tract 7605.01, Austin County, Texas",55-64,0,14
48015760501,"Census Tract 7605.01, Austin County, Texas",65-74,18,30.4138126514911
48015760502,"Census Tract 7605.02, Austin County, Texas",55-64,76,81.83520025025906
48015760502,"Census Tract 7605.02, Austin County, Texas",65-74,51,53
48017950100,"Census Tract 9501, Bailey County, Texas",55-64,0,19
48017950100,"Census Tract 9501, Bailey County, Texas",65-74,0,19
48019000101,"Census Tract 1.01, Bandera County, Texas",55-64,0,14
48019000101,"Census Tract 1.01, Bandera County, Texas",65-74,0,14
48019000102,"Census Tract 1.02, Bandera County, Texas",55-64,5,20.615528128088304
48019000102,"Census Tract 1.02, Bandera County, Texas",65-74,0,19
48019000200,"Census Tract 2, Bandera County, Texas",55-64,0,14
48019000200,"Census Tract 2, Bandera County, Texas",65-74,50,98.99494936611666
48019000300,"Census Tract 3, Bandera County, Texas",55-64,0,19
48019000300,"Census Tract 3, Bandera County, Texas",65-74,0,19
48019000400,"Census Tract 4, Bandera County, Texas",55-64,0,14
48019000400,"Census Tract 4, Bandera County, Texas",65-74,0,14
48021950100,"Census Tract 9501, Bastrop County, Texas",55-64,67,78.33900688673555
48021950100,"Census Tract 9501, Bastrop County, Texas",65-74,31,47.01063709417264
48021950200,"Census Tract 9502, Bastrop County, Texas",55-64,393,141.35416513141735
48021950200,"Census Tract 9502, Bastrop County, Texas",65-74,317,181.10770276274835
48021950300,"Census Tract 9503, Bastrop County, Texas",55-64,163,137.03284277865654
48021950300,"Census Tract 9503, Bastrop County, Texas",65-74,49,78
48021950400,"Census Tract 9504, Bastrop County, Texas",55-64,74,56.0357029044876
48021950400,"Census Tract 9504, Bastrop County, Texas",65-74,19,30.886890422961002
48021950501,"Census Tract 9505.01, Bastrop County, Texas",55-64,191,111.83022847155415
48021950501,"Census Tract 9505.01, Bastrop County, Texas",65-74,19,42.485291572496
48021950502,"Census Tract 9505.02, Bastrop County, Texas",55-64,17,33.83784863137726
48021950502,"Census Tract 9505.02, Bastrop County, Texas",65-74,0,19
48021950600,"Census Tract 9506, Bastrop County, Texas",55-64,0,19
48021950600,"Census Tract 9506, Bastrop County, Texas",65-74,3,19.924858845171276
48021950700,"Census Tract 9507, Bastrop County, Texas",55-64,54,45.221676218380054
48021950700,"Census Tract 9507, Bastrop County, Texas",65-74,101,99.68951800465283
48021950801,"Census Tract 9508.01, Bastrop County, Texas",55-64,0,19
48021950801,"Census Tract 9508.01, Bastrop County, Texas",65-74,0,19
48021950802,"Census Tract 9508.02, Bastrop County, Texas",55-64,74,82.22530024268686
48021950802,"Census Tract 9508.02, Bastrop County, Texas",65-74,0,19
48023950300,"Census Tract 9503, Baylor County, Texas",55-64,28,26.1725046566048
48023950300,"Census Tract 9503, Baylor County, Texas",65-74,0,14
48025950100,"Census Tract 9501, Bee County, Texas",55-64,0,14
48025950100,"Census Tract 9501, Bee County, Texas",65-74,0,14
48025950201,"Census Tract 9502.01, Bee County, Texas",55-64,310,83.19855767980596
48025950201,"Census Tract 9502.01, Bee County, Texas",65-74,0,19
48025950202,"Census Tract 9502.02, Bee County, Texas",55-64,0,19
48025950202,"Census Tract 9502.02, Bee County, Texas",65-74,10,30.610455730027933
48025950300,"Census Tract 9503, Bee County, Texas",55-64,0,19
48025950300,"Census Tract 9503, Bee County, Texas",65-74,0,19
48025950400,"Census Tract 9504, Bee County, Texas",55-64,3,15.231546211727817
48025950400,"Census Tract 9504, Bee County, Texas",65-74,1,14.560219778561036
48025950500,"Census Tract 9505, Bee County, Texas",55-64,13,22.627416997969522
48025950500,"Census Tract 9505, Bee County, Texas",65-74,0,19
48025950600,"Census Tract 9506, Bee County, Texas",55-64,0,14
48025950600,"Census Tract 9506, Bee County, Texas",65-74,3,14.866068747318506
48027020100,"Census Tract 201, Bell County, Texas",55-64,0,19
48027020100,"Census Tract 201, Bell County, Texas",65-74,0,19
48027020201,"Census Tract 202.01, Bell County, Texas",55-64,0,19
48027020201,"Census Tract 202.01, Bell County, Texas",65-74,0,19
48027020202,"Census Tract 202.02, Bell County, Texas",55-64,0,19
48027020202,"Census Tract 202.02, Bell County, Texas",65-74,0,19
48027020300,"Census Tract 203, Bell County, Texas",55-64,125,114.23221962301179
48027020300,"Census Tract 203, Bell County, Texas",65-74,105,81.5659242576212
