Year,MSA,Age,zone,pop,lwr,upr,CV,.width
1999,Dallas,55-64,0,25030.93793362088,3084.368228877586,55628.93502315171,2.0991848940545563,0.9
2000,Dallas,55-64,0,19589,19589,19589,0,0.9
2001,Dallas,55-64,0,32049.810062956218,6445.0872268403455,61996.389740440754,1.7332802411146788,0.9
2002,Dallas,55-64,0,42612.61147136525,10102.516695267082,80903.83783685873,1.6615109634660292,0.9
2003,Dallas,55-64,0,51926.55273485305,14829.995752780069,94249.17440329088,1.5294521678733497,0.9
2004,Dallas,55-64,0,60563.89153448601,21863.052621450977,102980.07683887336,1.3393628144128271,0.9
2005,Dallas,55-64,0,68583.62727704605,31973.8028553175,109093.4364819492,1.1244612845439648,0.9
2006,Dallas,55-64,0,75993.07314002461,45845.371638568344,107328.99588650104,0.8090687967657675,0.9
2007,Dallas,55-64,0,83537.3237956608,59823.55444889228,107342.05026383331,0.5688295202175163,0.9
2008,Dallas,55-64,0,91180.45649100444,69577.69043027301,112772.06349159416,0.473724027314807,0.9
2009,Dallas,55-64,0,99407.3497921046,75553.42659659774,123080.08313010618,0.478100026133915,0.9
2010,Dallas,55-64,0,107387.81836344638,77978.31139950182,134870.44874019205,0.5297820386679508,0.9
2011,Dallas,55-64,0,115598.37224187382,88601.21116073594,143292.11765717558,0.4731113893369223,0.9
2012,Dallas,55-64,0,125197.1685122425,102586.3149728767,147300.21732020637,0.35714787226164213,0.9
2013,Dallas,55-64,0,136258.44288777973,116107.1506234004,157191.60593465436,0.3015186027414864,0.9
2014,Dallas,55-64,0,148648.25843388648,126556.45494638445,171541.55599868816,0.30262783786539627,0.9
2015,Dallas,55-64,0,162013.8438489445,136539.28072603967,187307.85666371277,0.3133594928159829,0.9
2016,Dallas,55-64,0,173669.15479018737,149377.01648551636,197627.34691424505,0.2778290162523145,0.9
2017,Dallas,55-64,0,182589.15576748928,162238.0726485402,204274.2049567405,0.2302225021606951,0.9
2018,Dallas,55-64,0,188348.4204973018,165717.22823888948,211134.79991368635,0.24113593071223816,0.9
2019,Dallas,55-64,0,191276.68195818743,157878.85901851815,224004.4079812031,0.34570627368546586,0.9
1999,Dallas,55-64,1,22672.6276227754,7936.138120367272,39026.770503257925,1.3712849211910088,0.9
2000,Dallas,55-64,1,21781,21781,21781,0,0.9
2001,Dallas,55-64,1,27176.21381846349,12304.5141957145,42990.57403232013,1.1291513984099415,0.9
2002,Dallas,55-64,1,32270.922023319887,13291.799144470766,52176.305859897446,1.2049394401352285,0.9
2003,Dallas,55-64,1,36972.48169685567,16055.23056944616,59011.308411973696,1.161839180683961,0.9
2004,Dallas,55-64,1,41610.55471183392,21153.261825478305,63969.48544323894,1.028975074095415,0.9
2005,Dallas,55-64,1,46088.319088369826,26910.047804479826,66367.86720757482,0.8561349205953575,0.9
