Period,MSA,Age,zone,pop,lwr,upr,CV,.width
1999-2005,Dallas,55-64,0,42908.06157347535,32285.303516513348,54329.795411571584,0.5137610762795579,0.9
2006-2010,Dallas,55-64,0,91501.20431644816,88845.07101967509,94276.55870479552,0.05935973986021173,0.9
2011-2015,Dallas,55-64,0,137543.21718494542,136088.47491059388,138960.8104370302,0.0208831492037449,0.9
2016-2019,Dallas,55-64,0,183970.85325329148,180308.17550237797,187498.2085219858,0.03908245731571715,0.9
1999-2005,Dallas,55-64,1,32653.15985165974,27241.780657896423,38940.2334458115,0.35826403450875977,0.9
2006-2010,Dallas,55-64,1,57557.350675725145,56832.51075663341,58270.224733453826,0.02497880739717179,0.9
2011-2015,Dallas,55-64,1,67298.2904112338,66466.31959636265,68146.40223477875,0.02496471497492388,0.9
2016-2019,Dallas,55-64,1,69542.54571769507,67611.50679893309,71387.18099145756,0.05429301089798547,0.9
1999-2005,Dallas,65-74,0,20724.848698172627,15086.21667745016,27403.310848235564,0.5943152758394535,0.9
2006-2010,Dallas,65-74,0,34908.85521404275,32219.95334911064,37596.712805820425,0.1540227951831226,0.9
2011-2015,Dallas,65-74,0,54066.37729005027,53215.14183870329,54950.36580191013,0.03209432645908323,0.9
2016-2019,Dallas,65-74,0,83105.3981919587,80898.83414548666,85424.49685747318,0.0544569042498664,0.9
1999-2005,Dallas,65-74,1,20971.149494420057,17299.610922873486,25105.603786425065,0.37222532153655075,0.9
2006-2010,Dallas,65-74,1,34182.89253233408,33616.40837905145,34740.86774399802,0.03289538367424365,0.9
2011-2015,Dallas,65-74,1,40680.53680739951,40100.335869790826,41250.66783577917,0.02827720714292797,0.9
2016-2019,Dallas,65-74,1,46661.44196827969,45341.444906899545,47992.73730213996,0.05681976988715345,0.9
1999-2005,Dallas,75-84,0,6579.236468074677,5100.564946017335,8348.60287499708,0.4936800713488016,0.9
2006-2010,Dallas,75-84,0,9376.038401691363,7548.571296832137,11218.492286236533,0.3914148846427899,0.9
2011-2015,Dallas,75-84,0,11669.833278305856,11186.927776641016,12142.401280099291,0.0818755059024276,0.9
2016-2019,Dallas,75-84,0,14521.252907569711,13789.853565101876,15291.128069744918,0.1033846400306444,0.9
1999-2005,Dallas,75-84,1,7954.087236220887,6754.524205003223,9386.001460179936,0.33083334102669076,0.9
2006-2010,Dallas,75-84,1,10351.191628203993,9932.025139814032,10786.847691805213,0.08258204298547,0.9
2011-2015,Dallas,75-84,1,13145.552177976117,12832.434403992627,13456.83424648817,0.04749894367629941,0.9
2016-2019,Dallas,75-84,1,15444.223716830607,14864.991216429578,16066.151137919634,0.0777740560816321,0.9
1999-2005,Houston,55-64,0,57000.2621958941,46174.15885723484,69075.60428213749,0.4017778961471567,0.9
2006-2010,Houston,55-64,0,129237.0167997083,126933.28538377763,131639.96674449477,0.03641898797471901,0.9
2011-2015,Houston,55-64,0,181509.5014708394,179899.32829153273,183071.0658415252,0.01747422324611497,0.9
2016-2019,Houston,55-64,0,210082.781498087,205951.8414278326,214529.16053403312,0.04082828228489844,0.9
1999-2005,Houston,55-64,1,31663.36844385192,27039.556921064195,36476.73351199035,0.29804714579438796,0.9
2006-2010,Houston,55-64,1,49246.463630927145,48490.1305187444,49998.070640787206,0.0306202722157659,0.9
2011-2015,Houston,55-64,1,53398.181848533095,52614.152961948974,54175.709992835815,0.02924363670876068,0.9
2016-2019,Houston,55-64,1,55583.84686789009,53952.22930494654,57093.15016129583,0.05650779917796143,0.9
1999-2005,Houston,65-74,0,27753.108707468396,21067.16245484991,35879.285037353664,0.5337103939825593,0.9
2006-2010,Houston,65-74,0,49983.892689452434,47497.61883419045,52594.80284820006,0.10197653163346387,0.9
2011-2015,Houston,65-74,0,76106.19928383491,75097.260861274,77196.68893856183,0.02758550679239803,0.9
2016-2019,Houston,65-74,0,111793.10617052262,109155.06038077468,114634.3483098146,0.0490127532612088,0.9
1999-2005,Houston,65-74,1,23452.808117930097,20059.26617111209,26983.614169713983,0.2952460090827292,0.9
2006-2010,Houston,65-74,1,33419.86318956561,32861.295533170254,34008.692534397094,0.03433278570646818,0.9
2011-2015,Houston,65-74,1,34294.778707583704,33770.17190576965,34778.59951643957,0.02940469799406895,0.9
2016-2019,Houston,65-74,1,38823.75167804807,37640.21157193749,40074.25878513381,0.06269479656116257,0.9
1999-2005,Houston,75-84,0,9877.73806369478,7708.666331517825,12658.655769920617,0.5011258049650329,0.9
2006-2010,Houston,75-84,0,13951.0863588152,11807.857460351246,16029.36347368505,0.30259335400546666,0.9
2011-2015,Houston,75-84,0,18200.22563934827,17598.196059363185,18803.21749330426,0.06620914805231087,0.9
2016-2019,Houston,75-84,0,24552.348182646543,23489.02764675718,25609.545616130443,0.08636721643072959,0.9
1999-2005,Houston,75-84,1,9963.48963286635,9046.417479837806,10963.212085051466,0.19238185373232788,0.9
2006-2010,Houston,75-84,1,11906.17818384115,11559.260518644369,12251.472112912796,0.05813885728737755,0.9
2011-2015,Houston,75-84,1,12560.086712235125,12266.75303528411,12846.27066992755,0.04613962052339305,0.9
2016-2019,Houston,75-84,1,13294.099619816285,12827.533130728852,13784.68183474569,0.07199800899566788,0.9
